title,publication-date,event-date,country,location,lat_long,diseases,syndromes,url,id,cases,dead,disease,syndrome,location_y,transmission,keywords,locations,type
"Brazil sees 2 confirmed omicron cases, Latin America’s 1st",30/11/2021,30/11/2021,Brazil,,"-15.779, -47.926",covid19,,https://flutrackers.com/forum/forum/south-america-aa/south-america-covid-19-sept-13-2020-may-31-2021/929495-brazil-sees-2-confirmed-omicron-cases-latin-america’s-1st,12435,,,,,,,,,
3 new confirmed cases of human infection with avian influenza in the Mainland;,10/03/2022,,China,Guangxi,"23.833, 108.789","influenza a/h9n2, influenza a/h5n6",,https://www.gov.mo/zh-hans/news/595716/,17782,,,,,,,,,
7 new cases of local COVID-19 pneumonia confirmed in Beijing_Xinhua Newspaper Network;,8/03/2022,,China,"Beijing, Beijing, Haidian","39.992, 116.277",covid19,,http://www.xhby.net/zt/zzccfkyq/yw/202203/t20220308_7455807.shtml,17726,,,,,,,,,
One Tula resident with coronavirus was hospitalized in an infectious diseases hospital per day,6/12/2022,,Russian Federation,,"55.757, 37.615",covid19,,https://www.tulapressa.ru/2022/12/odnogo-tulyaka-s-koronavirusom-gospitalizirovali-v-infekcionnyj-gospital-za-sutki/,40409,,,,,,,,,
"Globally, covid infections surpass 642 billion cases, over 6600000 deaths - RYT9",19/11/2022,,United States,,"38.892, -77.02",covid19,,https://www.ryt9.com/s/iq38/3375560,38835,,,,,,,,,
"Daily corona infections in the state are below 100, 63 new ...",7/10/2022,,India,"Odisha, Baleshwar, Baleshwar","21.501, 86.924",covid19,,https://newsroomodisha.com/odia-34152/,35393,,,,,,,,,
[hindustantimes.com] INDIA - Aundh-Baner ward has most suspected dengue cases in Pune,2/03/2022,,India,"Maharashtra, Pune, Pune, Aundh","18.558, 73.807",dengue,,http://outbreaks.globalincidentmap.com/eventdetail.php?ID=43375,17458,,,,,,,,,
Monitoring of dengue cases is reinforced in six cities in Rio de Janeiro; three deaths were ... - G1,8/05/2022,,Brazil,"Rio de Janeiro, Rio de Janeiro","-22.901, -43.179",dengue,,https://g1.globo.com/rj/rio-de-janeiro/noticia/2022/05/07/monitoramento-de-casos-de-dengue-e-reforcado-em-seis-cidades-do-rj-tres-mortes-foram-registradas-desde-o-comeco-do-ano.ghtml,21939,,,,,,,,,
"""35% lung damage and bilateral pneumonia."" Chelyabinsk vice-governor fell ill ...",6/10/2020,6/10/2020,Russian Federation,,"61.99, 96.805",covid19,Influenza-like illness,https://www.nakanune.ru/news/2020/10/05/22585077/,466,,,,,,,,,
Brazil health regulator rejects Russia's Sputnik vaccine - presence of the adenovirus that could reproduce,30/04/2021,,Brazil,,,covid19,,https://flutrackers.com/forum/forum/south-america-aa/south-america-covid-19-sept-13-2020-may-31-2021/914152-brazil-health-regulator-rejects-russia-s-sputnik-vaccine-presence-of-the-adenovirus-that-could-reproduce,5265,,,,,,,,,
INDIA - Capital reports 208 dengue cases this year,7/09/2021,6/09/2021,India,"Delhi, New Delhi, New Delhi, South Delhi","28.542, 77.216",dengue,,http://outbreaks.globalincidentmap.com/eventdetail.php?ID=39679,8436,,,,,,,,,
Five human cases of H5N6 bird flu reported in China - The Jerusalem Post,18/01/2022,,China,,"39.931, 116.386",influenza a/h5n6,,https://www.jpost.com/health-and-wellness/article-692815,15416,,,,,,,,,
"The country recorded more than 354,200 dengue cases, 133 deaths - VTC News",22/12/2022,,Vietnam,,"21.007, 105.825",dengue,,https://vtc.vn/ca-nuoc-ghi-nhan-hon-354-200-ca-mac-sot-xuat-huyet-133-truong-hop-tu-vong-ar722397.html,41446,,,,,,,,,
"In Russia, 3847 people with COVID-19 were hospitalized per day - Izvestia",10/03/2022,,Russian Federation,,"55.757, 37.615",covid19,,https://iz.ru/1302166/2022-03-08/v-rossii-za-sutki-gospitalizirovali-3-847-chelovek-s-covid-19,17829,,,,,,,,,
Dinkes Records 101 Cases of Measles in Padang From January to July 2022,29/07/2022,,Indonesia,"West Sumatra, Padang, Koto Luar","-0.929, 100.438",measles,,https://khazminang.id/dinkes-catat-ada-101-kasus-campak-di-padang-sejak-januari-hingga-juli-2022,27731,,,,,,,,,
"At 17:00 on September 1, Liaocheng added 1 new case of local asymptomatic infection of new crown pneumonia - Sina;",2/09/2022,,China,Shandong,"36.346, 118.149",covid19,,https://k.sina.com.cn/article_1893761531_70e081fb02002fm3q.html,31684,,,,,,,,,
VIETNAM - Vietnam records new wave of avian flu outbreaks in poultry,21/04/2021,21/04/2021,Vietnam,Hanoi,"20.998, 105.7","influenza, avian influenza/unspecified",,http://outbreaks.globalincidentmap.com/eventdetail.php?ID=38449,5056,,,,,,,,,
"PRO/AH/EDR> Monkeypox update (83) case counts, intradermal vaccination",7/10/2022,6/10/2022,United States,TX,"31.499, -99.362",Mpox,,https://www.promedmail.org/promed-post/?id=8706012,35259,,,,,,,,,
Pune city reports 39 cases of Swine Flu in seven days - Hindustan Times,19/09/2022,,India,"Maharashtra, Pune, Pune","18.521, 73.855",influenza a/h1n1,,https://www.hindustantimes.com/cities/pune-news/pune-city-reports-39-cases-of-swine-flu-in-seven-days-101663524916416.html,33824,,,,,,,,,
China notified an imported monkey pox case confirmed 13 close contacts - 8world;,22/06/2022,,China,,"39.931, 116.386",Mpox,,https://www.8world.com/singapore/confirmed-imported-case-of-monkeypox-in-singapore-1840851,25071,,,,,,,,,
"In China, despite the measures taken, it is not yet possible to stop the growth of the number of ...",18/03/2022,,China,,"39.931, 116.386",covid19,,https://interfax.com.ua/news/general/815224.html,18525,,,,,,,,,
"US - Approximately: 129,748 people currently hospitalized with COVID-19, and 1,739 deaths for January 11, 2021",12/01/2021,,United States,,"38.892, -77.02",covid19,,https://flutrackers.com/forum/forum/united-states-ab/united-states-covid-19-sars-cov-2-september-13-2020-may-31-2021/903667-us-approximately-129-748-people-currently-hospitalized-with-covid-19-and-1-739-deaths-for-january-11-2021,2248,,,,,,,,,
China epidemic severe officials are blamed for concealing their trip - Yahoo Chimo News;,14/10/2022,,China,,"40.05, 116.286",covid19,,https://tw.news.yahoo.com/%E4%B8%AD%E5%9C%8B%E5%A4%A7%E9%99%B8%E7%96%AB%E6%83%85%E5%9A%B4%E5%B3%BB-%E5%AE%98%E5%93%A1%E7%9E%9E%E5%A0%B1%E8%A1%8C%E7%A8%8B%E8%A2%AB%E7%A9%B6%E8%B2%AC-035824976.html,36003,,,,,,,,,
International News - U.S. Administration Temporarily Suspends Flights with Afghanistan Due to Measles - Gulf Eyes,11/09/2021,,United States,,"38.892, -77.02",measles,,https://www.gulfeyes.net/world/5068478,8640,,,,,,,,,
"PRO/AH/EDR> Avian influenza (194): Americas (USA) mixed flocks, HPAI H5N1",23/10/2022,21/10/2022,United States,North Carolina,,avian influenza/unspecified,,https://www.promedmail.org/promed-post/?id=8706329,36808,,,,,,,,,
Bolivia: Nearly 7 million people have been vaccinated against COVID-19,9/10/2021,,United States,,"38.892, -77.02",measles,,http://outbreaknewstoday.com/bolivia-nearly-7-million-people-have-been-vaccinated-against-covid-19-83260/,10227,,,,,,,,,
"Dengue in J&K: 70 new cases of dengue in Jammu district, including 32 in Jammu district - Amarujala",19/11/2022,,India,"Jammu & Kashmir, Jammu, Jammu","32.684, 74.885",dengue,,https://www.amarujala.com/jammu/dengue-in-jammu-kashmir-70-new-cases-of-dengue-in-ut-including-32-in-jammu-district,38746,,,,,,,,,
"Illinois Coronavirus Updates: COVID Levels Rise in State, Mask Recommendations",13/12/2022,,United States,IL,"40.124, -89.149",covid19,,https://www.nbcchicago.com/news/coronavirus/illinois-coronavirus-updates-covid-levels-rise-in-state-mask-recommendations/3019742/,40928,,,,,,,,,
"Why insist on ""dynamic zeroing"" and asymptomatic infected people can be isolated at home... Authoritative response!;",13/04/2022,,China,,"39.931, 116.386",covid19,,http://mpa.gd.gov.cn/xwdt/xwfbpt/mtzx/content/post_3909335.html,20008,,,,,,,,,
"October 22: There were 3,985 cases of COVID-19 and 5,202 recovered from the disease, the death toll plummeted to 55.",23/10/2021,,Vietnam,,"21.028, 105.854",covid19,,https://moh.gov.vn/tin-tong-hop/-/asset_publisher/k206Q9qkZOqn/content/ngay-22-10-co-3-985-ca-mac-covid-19-va-5-202-nguoi-khoi-benh-so-tu-vong-giam-manh-con-55-ca,10823,,,,,,,,,
"The WHO says monkeypox is still a global health emergency of concern, despite a ... - ABC",3/11/2022,,Australia,Western Australia,"-25.473, 122.184",Mpox,,https://www.abc.net.au/news/2022-11-02/monkeypox-maintains-public-health-emergency-status/101608704,37501,,,,,,,,,
COVID-19: more than 2 thousand people fell ill in Dnipropetrovsk region in a week - Suspilne,1/11/2022,,Ukraine,Dnipropetrovsk Oblast,"48.301, 34.844",covid19,,https://suspilne.media/306194-na-dnipropetrovsini-za-tizden-na-covid-19-zahvorili-ponad-2-tisaci-ludej/,37319,,,,,,,,,
State Hospitals See 37 Mucor Patients In 3rd Wave: Report | Pune News - Times of India,14/03/2022,,India,Maharashtra,"19.452, 76.109",covid19,,https://timesofindia.indiatimes.com/city/pune/state-hospitals-see-37-mucor-patients-in-3rd-wave-report/articleshow/90177626.cms,18116,,,,,,,,,
"Delhi dengue cases in February: Cold wave has not stopped for 2 months, latest...",20/02/2022,,India,"Delhi, New Delhi, New Delhi","28.632, 77.219",dengue,,https://awazehindtimes.page/delhi-dengue-cases-in-february-2-%25E0%25A4%25AE%25E0%25A4%25B9%25E0%25A5%2580%25E0%25A4%25A8%25E0%25A5%2587-%25E0%25A4%25B8%25E0%25A5%2587-%25E0%25A4%2595%25E0%25A4%25A1%25E0%25A4%25BC%25E0%25A4%25BE%25E0%25A4%2595%25E0%25A5%2587-%25E0%25A4%2595%25E0%25A5%2580-%25E0%25A4%25A0%25E0%25A4%2582%25E0%25A4%25A1/,16841,,,,,,,,,
"WHO Covid-19 Report: Weekly Infections Up 8%, Deaths Down 17% - International",17/03/2022,,Brazil,,"-15.779, -47.926",covid19,,https://internasional.kontan.co.id/news/laporan-covid-19-who-infeksi-mingguan-naik-8-kematian-turun-17,18469,,,,,,,,,
"Covid-19 pneumonia in Chongqing on August 14, 2022;",14/08/2022,,China,Chongqing,"30.058, 107.874",covid19,,http://wsjkw.cq.gov.cn/ztzl_242/qlzhxxgzbdfyyqfkgz/yqtb/202208/t20220814_11001881.html,29700,,,,,,,,,
"In India, a four-year-old girl died of swine flu | Veterinary medicine and life",12/08/2022,,India,,"28.635, 77.225",influenza a/h1n1,,https://vetandlife.ru/sobytiya/v-indii-chetyrehletnyaya-devochka-umerla-ot-svinogo-grippa/,29520,,,,,,,,,
"NSW breaks COVID-19 case records with 825 infections, three deaths",21/08/2021,,Australia,"New South Wales, Sydney, Sydney","-33.873, 151.205",covid19,,https://www.abc.net.au/news/2021-08-21/nsw-records-825-covid-cases-three-deaths/100396208,7673,,,,,,,,,
"International snippets: Asia-Pacific, Europe",5/01/2021,5/01/2021,Australia,,"-35.281, 149.131",covid19,,https://www.promedmail.org/promed-post/?id=8072388,2111,,,,,,,,,
"China reports most COVID-19 cases since end-Jan, Nanjing starts 2nd mass testing",26/07/2021,26/07/2021,China,"Jiangsu, Nanjing","32.052, 118.778",covid19,,https://www.reuters.com/world/china/china-reports-most-covid-19-cases-since-end-jan-nanjing-starts-2nd-mass-testing-2021-07-26/,6979,,,,,,,,,
"Covid-19 Cases in Indonesia Rise, Here's The Response of President Jokowi, Minister of Health, and Epidemiologists",11/06/2022,,Indonesia,,"-6.175, 106.827",covid19,,https://www.tribunnews.com/corona/2022/06/11/kasus-covid-19-di-indonesia-naik-begini-tanggapan-presiden-jokowi-menkes-dan-epidemiolog,24552,,,,,,,,,
The latest developments in the outbreak of pneumonia in many countries in the East;,7/10/2020,7/10/2020,India,,"23.379, 79.443",covid19,,https://www.trt.net.tr/chinese/guo-ji/2020/10/06/dong-fang-duo-guo-xin-guan-fei-yan-yi-qing-zui-xin-dong-tai-1504029,344,,,,,,,,,
MASSACHUSETTS :: Medford's COVID-19 Positivity Rate Rises To Over 7 percent,21/07/2022,,United States,"MA, Middlesex, Medford","42.419, -71.106",covid19,,http://outbreaks.globalincidentmap.com/event_detail?id=1665600,27037,,,,,,,,,
"China - Reports of long lines at fever clinics in hospitals - December 10, 2022",10/12/2022,10/12/2022,China,,"40.05, 116.286",,Febrile syndromes,https://flutrackers.com/forum/forum/china-other-health-threats/china-covid-19-sept-13-2020-may-31-2021/964460-china-reports-of-long-lines-at-fever-clinics-in-hospitals-december-10-2022,40574,,,,,,,,,
PRO/AH> Canine influenza - North America: USA (DC) dog,1/01/2023,,United States,,"38.89, -77.032",influenza,,https://www.promedmail.org/promed-post/?id=8707562,42010,,,,,,,,,
"Children suffering from pneumonia, malaria and dengue, 108 children admitted in a week",21/11/2022,,India,Jharkhand,"23.656, 85.564",dengue,,https://www.livehindustan.com/jharkhand/ranchi/story-children-falling-prey-to-pneumonia-malaria-and-dengue-108-children-admitted-in-a-week-7376143.html,38882,,,,,,,,,
Jharkhand News: More than 500 patients found in Jharkhand due to dengue and chikungunya,16/10/2022,,India,Jharkhand,"23.656, 85.564",dengue,,https://www.indiatv.in/india/national/dengue-and-chikungunya-in-jharkhand-more-than-500-patients-found-so-far-2022-10-15-893536,36282,,,,,,,,,
The number of cases of coronavirus infection is growing again in the Prikamya,25/03/2021,,Russian Federation,,"55.757, 37.615",covid19,,https://www.kommersant.ru/doc/4742128,3864,,,,,,,,,
"U.S. Experiences Highest Flu-Induced Hospitalization Rate In A Decade, Health Authority ... - VOI",7/12/2022,,United States,,"38.89, -77.032",influenza,,https://voi.id/berita/233661/as-alami-tingkat-rawat-inap-akibat-flu-tertinggi-dalam-satu-dekade-otoritas-kesehatan-imbau-masyarakat-divaksin,40482,,,,,,,,,
UNITED KINGDOM - Suspected bird flu kills 53 geese and 14 swans at Winsford Marina,5/01/2022,,United Kingdom,"ENG, Cheshire, Winsford","53.194, -2.514",avian influenza/unspecified,,http://outbreaks.globalincidentmap.com/eventdetail.php?ID=42272,15074,,,,,,,,,
VA: 2022 Monkeypox;,26/05/2022,,United States,FL,"28.661, -82.486",Mpox,,https://flutrackers.com/forum/forum/united-states/other-diseases-ai/monkeypox-ab/950027-va-2022-monkeypox,23091,,,,,,,,,
"Rising Skin Patients, Fever - Growing Skin Patients, Fever In The Heat Is Also Disturbing - Baghpat News",25/04/2022,,India,,"28.632, 77.219",,Febrile syndromes,https://www.amarujala.com/uttar-pradesh/baghpat/rising-skin-patients-fever-baghpat-news-mrt5858130166,21044,,,,,,,,,
Official announcement! 5 new cases of asymptomatic infection imported abroad in Shaanxi;,11/04/2021,10/04/2021,China,Shaanxi,"35.155, 108.862",covid19,severe acute respiratory syndrome,http://www.nbd.com.cn/articles/2021-04-11/1692114.html,4514,,,,,,,,,
"PRO/AH/EDR> Monkeypox update (83) case counts, intradermal vaccination",7/10/2022,6/10/2022,United States,SC,"33.913, -80.9",Mpox,,https://www.promedmail.org/promed-post/?id=8706012,35256,,,,,,,,,
In Mykolaiv region — outbreak of bird flu;,19/10/2021,19/10/2021,Ukraine,"Autonomous Republic of Crimea, Simferopolskyi raion, Mykolaivka","44.969, 33.607",avian influenza/unspecified,,https://agroportal.ua/news/zhivotnovodstvo/na-nikolaevshchine--vspyshka-ptichego-grippa/,10594,,,,,,,,,
SpaceX Rocket Factory Outbreak At least 132 people tested positive for COVID-19 – cnBeta.COM;,21/12/2021,21/12/2021,United States,"FL, Alachua, Hawthorne","29.591, -82.085",covid19,,https://www.cnbeta.com/articles/tech/1216909.htm,13701,,,,,,,,,
INDIA - J&K reports 125 new Covid-19 cases,24/08/2021,24/08/2021,India,"Jammu & Kashmir, Jammu, Jammu","32.705, 74.88",covid19,,http://outbreaks.globalincidentmap.com/eventdetail.php?ID=39469,7763,,,,,,,,,
Corona : 15768 people in the state today are infected - Janam TV,22/09/2021,22/09/2021,India,Kerala,"10.45, 76.408",covid19,,https://janamtv.com/80432996/,9391,,,,,,,,,
"Bageshwar, India -105 out of 440 children taken home by parents due to diarrhoea outbreak",11/12/2022,,India,"Uttarakhand, Bageshwar, Bageshwar","29.838, 79.774",unknown,Acute gastroenteritis,https://www.livehindustan.com/uttarakhand/story-diarrhea-outbreak-bageshwar-parents-took-105-out-of-440-children-home-7471518.html,40818,,,,,,,,,
The mass poisoning at Ischool Nha Trang stemmed from fried chicken wings,6/12/2022,,Vietnam,"Khánh Hòa, Nha Trang, Nha Trang","12.256, 109.195",,Acute gastroenteritis,https://www.sggp.org.vn/vu-ngo-doc-tap-the-tai-truong-ischool-nha-trang-xuat-phat-tu-mon-canh-ga-chien-861581.html,40284,,,,,,,,,
Reditus Lab confirms Omicron now predominant variant in Illinois,1/02/2022,,United States,IL,"40.124, -89.149",covid19,,http://outbreaks.globalincidentmap.com/eventdetail.php?ID=42847,16119,,,,,,,,,
Russia reports world's first case of human infection with H5N8 bird flu,20/02/2021,20/02/2021,Russian Federation,,"55.757, 37.615","influenza a/h5n8, influenza b","severe acute respiratory syndrome, Influenza-like illness",https://crofsblogs.typepad.com/h5n1/2021/02/russia-reports-worlds-first-case-of-human-infection-with-h5n8-bird-flu.html,2908,,,,,,,,,
"In Russia, identified seven cases of infection with a new strain of coronavirus ""centaur"" - RTVI",27/07/2022,,Russian Federation,,"55.757, 37.615",covid19,,https://rtvi.com/news/v-rossii-vyyavili-sem-sluchaev-zarazheniya-novym-shtammom-koronavirusa-kentavr/,27444,,,,,,,,,
"In the early years, 38 residents of the Fund were affected by dengue",21/01/2022,,Indonesia,"Papua, Pegunungan Bintang, Batam","-4.44, 140.909",dengue,,https://lemondediplomatique.com.mx/en-los-primeros-anos-38-vecinos-del-fondo-se-vieron-afectados-por-el-dengue/,15482,,,,,,,,,
Ukraine registers the first case of infection with the variant omicron | Globe24.cz,19/12/2021,18/12/2021,Ukraine,,"50.448, 30.543",covid19,,https://globe24.cz/svet/ukrajina-registruje-prvni-pripad-infekce-variantou-omikron.2ddaa02e,13540,,,,,,,,,
Bird flu 'very concerning' as Norfolk and Suffolk cases confirmed - BBC News,27/09/2022,,United Kingdom,,"51.5, -0.126",avian influenza/unspecified,,https://www.bbc.com/news/uk-england-suffolk-63033035,34509,,,,,,,,,
"The symptoms and causes of monkeypox infections, which CDC calls an ' emerging issue'",20/05/2022,,United Kingdom,,"51.5, -0.126",Mpox,,https://www.nbcnews.com/health/health-news/monkeypox-virus-symptoms-rcna29510,22774,,,,,,,,,
INDIA - Munger - Bihar Logs 13 New Dengue Cases In 24 Hours,1/12/2022,,India,"Bihar, Khagaria, Khagaria","25.506, 86.467",dengue,,http://outbreaks.globalincidentmap.com/event_detail?id=11919674,39959,,,,,,,,,
"National Health Commission: 164 new confirmed cases of new coronavirus pneumonia on July 22, including 128 local cases - China Net News Center;",23/07/2022,,China,,"39.931, 116.386",covid19,,http://news.china.com.cn/2022-07/23/content_78337567.htm,27150,,,,,,,,,
"The state's top-down daily infections, detected in 24 hours...",7/10/2022,,India,Odisha,"20.513, 84.429",covid19,,https://www.prameyanews7.com/new-covid-cases-in-odisha-2/,35408,,,,,,,,,
"National Health Commission: 4,233 new local confirmed cases yesterday and 30,539 new local asymptomatic infections - Shanghai Securities News;",3/12/2022,,China,,"40.05, 116.286",covid19,,"https://news.cnstock.com/news,bwkx-202212-4988870.htm",39904,,,,,,,,,
"Shanghai, May 23, 2022, 58 new local covid-19 pneumonia confirmed cases, 422 new local asymptomatic infected people, 422 cases of no new overseas ...",24/05/2022,,China,,"39.931, 116.386",covid19,,https://wsjkw.sh.gov.cn/xwfb/20220524/8aca9ba6f316476d8817b57056305352.html,23013,,,,,,,,,
"Globally, covid infections surpass 628 billion cases, over 65600000 deaths - RYT9",14/10/2022,,Brazil,,"-15.78, -47.929",covid19,,https://www.ryt9.com/s/iq38/3364846,35984,,,,,,,,,
Getting Answers: doctors seeing rise in gastroenteritis cases - Western Mass News,19/11/2022,,United States,,"38.89, -77.032",,Acute gastroenteritis,https://www.westernmassnews.com/2022/11/18/getting-answers-doctors-seeing-rise-gastroenteritis-cases/,38827,,,,,,,,,
Bird flu can thwart Christmas in England | MedikForum.ru,1/10/2022,,United Kingdom,,"51.5, -0.126",avian influenza/unspecified,,https://www.medikforum.ru/medicine/140314-ptichiy-gripp-mozhet-sorvat-v-anglii-rozhdestvo.html,34974,,,,,,,,,
"Coronavirus Cases Today: In the last 24 hours, 1260 corona cases were reported in the country.",2/04/2022,,India,"Punjab, Ludhiana, Ludhiana, Punjabi Bagh","30.929, 75.879",covid19,,https://punjabi.abplive.com/news/india/coronavirus-cases-today-india-reports-1260-new-corona-cases-and-83-deaths-in-last-24-hours-650194,19452,,,,,,,,,
2 new cases of COVID-19 pneumonia and 1 case of local asymptomatic infection in Shanghai - Shanghai Municipal Health Commission;,15/06/2022,,China,"Shanghai, Shanghai","31.218, 121.435",covid19,,http://wsjkw.sh.gov.cn/xwfb/20220614/65cf5cddea8b42fdaa502b3b11dd20ff.html,24413,,,,,,,,,
Fever in the state - two in Prakasam and a child died in Sathya Sai | Prajasakti,10/09/2022,,India,,"28.632, 77.219",dengue,,https://prajasakti.com/dengue-fever-deaths,32714,,,,,,,,,
South Dakota reports 1st UK Coronavirus Variant B.1.1.7 cases,12/03/2021,11/03/2021,United States,South Dakota,,covid19,,http://outbreaknewstoday.com/south-dakota-reports-1st-uk-coronavirus-variant-b-1-1-7-cases-38879/,3419,,,,,,,,,
"CIDRAP - Delta COVID variant surges in Asia, casts shadow on Olympics",8/07/2021,,United States,,,covid19,,https://flutrackers.com/forum/forum/local-regional-communities-and-organizations/cidrap/918999-cidrap-delta-covid-variant-surges-in-asia-casts-shadow-on-olympics,6429,,,,,,,,,
"Russia records less than 1,000 covid deaths for second consecutive day - SWI swissinfo.ch",25/12/2021,,Russian Federation,,"55.757, 37.615",covid19,,https://www.swissinfo.ch/spa/coronavirus-rusia_rusia-registra-menos-de-1.000-muertes-de-covid--por-segundo-d%25C3%25ADa-consecutivo/47217572,13833,,,,,,,,,
There were 17 cases of DBD and 53 cases of DBD specs in January 2021 in Kulon Progo,26/01/2021,2021-01,Indonesia,"Yogyakarta, Kulon Progo","-7.864, 110.154",dengue,,https://jogja.tribunnews.com/2021/01/25/terdapat-17-kasus-dbd-dan-53-kasus-suspek-dbd-pada-januari-2021-di-kulon-progo,2580,,,,,,,,,
"Coronavirus in the Far East: information for the morning of June 12, 2022 - EastRussia",12/06/2022,,Russian Federation,,"55.757, 37.615",covid19,,https://www.eastrussia.ru/news/koronavirus-na-dalnem-vostoke-informatsiya-na-utro-12-iyunya-2022/,24228,,,,,,,,,
Pneumonia was confirmed per day in 95 Saratov residents - Kommersant,4/09/2021,,Russian Federation,,"55.757, 37.615",SARS-CoV-1,severe acute respiratory syndrome,https://www.kommersant.ru/doc/4968462,8279,,,,,,,,,
"[wattagnet.com] NEW YORK - HPAI confirmed in second Kentucky flock, NY backyard birds",19/02/2022,,United States,"NY, Suffolk","40.917, -72.662",avian influenza/unspecified,,http://outbreaks.globalincidentmap.com/eventdetail.php?ID=43182,16826,,,,,,,,,
COVID in WA: Elective surgery opens up as virus cases remain steady | PerthNow,2/05/2022,,Australia,Western Australia,"-25.473, 122.184",covid19,,https://www.perthnow.com.au/news/wa/covid-in-wa-elective-surgery-opens-up-as-virus-cases-remain-steady-c-6648132,21641,,,,,,,,,
The Most Common Causes of Dengue Fever Along With Symptoms and Ways of Treatment...,9/12/2021,,Indonesia,Jakarta,"-6.208, 106.839",dengue,,https://www.fimela.com/health/read/4731844/penyebab-demam-berdarah-yang-paling-umum-beserta-gejala-dan-cara-pengobatannya,13574,,,,,,,,,
"China Covid Updates: By 2023, 1 million people in China will be affected by COVID-19.",17/12/2022,,China,,"40.05, 116.286",covid19,,https://tv9kannada.com/world/new-covid-19-model-predicts-over-1-million-deaths-in-china-through-2023-nyr-au54-486749.html,41142,,,,,,,,,
"In Kuban, 31 cases of COVID-19 were detected per day - Resort city of Anapa",7/11/2022,,Russian Federation,,"55.757, 37.615",covid19,,https://www.anapa-official.ru/news/na-kubani-za-sutki-vyyavili-31-sluchay-covid-19/,37849,,,,,,,,,
Increase in dengue cases across Sindh including Karachi;,9/10/2021,9/10/2021,India,"Karnataka, Raichur, Sindhnur","15.766, 76.755",dengue,,https://jang.com.pk/news/995802,10352,,,,,,,,,
